Title,Price,Cat_ID,Sub-category,Sub-subcategory,Condition,Quantity,Description,Local_Pickup_yes_or_no,Free_Shipping_yes_or_no,Shipping_Cost,Return_Policy,Nonprofit,Percent_Donated,Main_Image_URL,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,META_SUPPLIER,META_SKU,META_UOM
School Specialty Floor Marking Tape - 1 inch - Red - 60 Yards Per Roll,4.59,8,,,New,10000,"Heavy gauge, colored vinyl tape used for marking goal lines, base lines, etc. 60 yards per roll. Latex free.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=763174&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,ORGANIZATION,FIELD MARKING/FLOOR MARKING,,School Specialty,1014097,EACH
School Specialty Floor Marking Tape - 2 Inches - Red - 60 Yards Per Roll,7.99,8,,,New,10000,"Heavy gauge, colored vinyl tape used for marking goal lines, base lines, etc. 60 yards per roll.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=763231&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,ORGANIZATION,FIELD MARKING/FLOOR MARKING,,School Specialty,1014106,EACH
Abilitations RollEase Foam Rolling Pin Calmer - 36 inch - Set of 2,39.99,10,,,New,10000,"The Roll Ease Rolling Pin is a great calmer. Kids love this imaginative way to roll-in calming input. And everyone loves pretending to be a sweet, yummy cookie! The large firm foam rolling pin can be used to apply deep pressure as children lie on their tu",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1069734&encrypt=.jpg,,,,,Special Needs,SPECIAL NEEDS,SENSORY SOLUTIONS,TACTILE/PRESSURE,,School Specialty,1015863,PAIR OF 2
Abilitations Integrations Stabili-T-Stool - Assorted Colors,48.99,10,,,New,10000,"These unique Stabili-T-Stools bring t-stool creation to a whole new dimension. Each plastic tube, while it can balance on its end, provides a dynamic base of support that is ideal for sensory integration therapies and core balance training. Each stool mea",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=781724&encrypt=.jpg,,,,,Special Needs,SPECIAL NEEDS,POSITIONING,SITTING,,School Specialty,1016166,EACH
Abilitations Integrations Fasten-ator Basket - 10 x 7 x 3 inches - Includes 7 Fine Motor Tasks,42.99,10,,,New,10000,"The Fasten-ator is a unique basket layered with seven fine-motor tasks including two types of buttoning, zipping, lacing, tying, snapping, hooking and clipping. A wonderful tool for a clinic, home or school that keeps both little and big fingers busy. Mea",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1103573&encrypt=.jpg,,,,,Special Needs,SPECIAL NEEDS,FINE MOTOR,MANIPULATIVES,,School Specialty,1016599,EACH
Abilitations Integrations Hi Write Trace And Copy - 3 x 5 Cards - Set of 26,11.99,10,,,New,10000,"Abilitations Hi-Write Trace And Copy cards are ideal for tracing and copying basic words in class, at home or on the go. Each set contains 26 basic words (such as cat, bee, bed, fan, etc.) with each card showing an illustration, a highlighted word with st",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=768322&encrypt=.jpg,,,,,Special Needs,SPECIAL NEEDS,EYE/HAND HELPERS,HANDWRITING,,School Specialty,1016600,EACH
Abilitations EllieGrip Right Handed Glove for Proper Finger Positioning/Handwriting - Right Hand,7.99,10,,,New,10000,Ellie Grip teaches kids the elephant-strong way to hold a pencil or crayon. Each Ellie Grip has two properly located holes for the first finger and thumb. The rest of the fingers remain inside the sock. The adorable sock pal maintains proper grasp. Ellie ,No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=767315&encrypt=.jpg,,,,,Special Needs,SPECIAL NEEDS,BODY WORKS,WEIGHTS/RESISTANCE,,School Specialty,1016601,EACH
Abilitations EllieGrip - Left-handed - Blue,7.99,10,,,New,10000,Ellie Grip teaches kids the elephant-strong way to hold a pencil or crayon. Each Ellie Grip has two properly located holes for the first finger and thumb. The rest of the fingers remain inside the sock. The adorable sock pal maintains proper grasp. Ellie ,No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=767326&encrypt=.jpg,,,,,Special Needs,SPECIAL NEEDS,BODY WORKS,WEIGHTS/RESISTANCE,,School Specialty,1016602,EACH
Sportime E Z Goal 18,115.99,8,,,New,10000,"The E-Z-Goal features 4"" (10cm) wheels for easy movement around a gym, from room to room or from the inside to the outside. When you get it where you want it, lock the wheels and let the shooting begin. E-Z-Goal can be easily adjusted from 41"" to 69.6"" (1",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=768094&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,SPORTS,BASKETBALL,,School Specialty,1017287,EACH
Multi-Tier BallRaks - 4 Tier,108.99,8,,,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=443615&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=434488&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=767235&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,ORGANIZATION,STORAGE PHY ED,,School Specialty,1017303,EACH
