Title,Price,Category,Sub-category,Sub-subcategory,Condition,Quantity,Description,Local_Pickup_yes_or_no,Free_Shipping_yes_or_no,Shipping_Cost,Return_Policy,Nonprofit,Percent_Donated,Main_Image_URL,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5
Shaked Educational Games Get A Grip On Patterns Game with Gripboard and Design Cards,35.99,SPECIAL NEEDS,FINE MOTOR,MANIPULATIVES,New,10000,Need a game that teaches proper pinch? This is it! Each game contains 1 plastic gripboard and 12 gripboard design cards to be matched with the 30 miniature safety clips. Great fine motor exercise!,No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=773368&encrypt=.jpg,,,,,School Specialty,SKU: 006073,UOM: EACH,,
Pacon Bordette Decorative Scalloped Border - 2 1/4 inches x 50 feet - Emerald Green,2.59,PAPER,DECORATIVES,BORDERS/TRIMMERS,New,10000,"Colorful trims add the finishing touch to bulletin boards and other classroom projects. Roll size: 2 1/4"" x 50'.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=925882&encrypt=.jpg,,,,,School Specialty,SKU: 006075,UOM: EACH,,
Pacon Bordette Decorative Scalloped Border - 2 1/4 inches x 50 feet - Azure Blue,2.59,PAPER,DECORATIVES,BORDERS/TRIMMERS,New,10000,"Colorful trims add the finishing touch to bulletin boards and other classroom projects. Roll size: 2 1/4"" x 50'.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=753591&encrypt=.jpg,,,,,School Specialty,SKU: 006078,UOM: EACH,,
Pacon Bordette Decorative Scalloped Border - 2 1/4 inches x 50 feet - Rich Blue,2.59,PAPER,DECORATIVES,BORDERS/TRIMMERS,New,10000,"Colorful trims add the finishing touch to bulletin boards and other classroom projects. Roll size: 2 1/4"" x 50'.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=925887&encrypt=.jpg,,,,,School Specialty,SKU: 006081,UOM: EACH,,
Abilitations Integrations Tote Around Turtle Weights - 10 x 6 - 5lbs - Assorted Colors,32.99,SPECIAL NEEDS,BODY WORKS,WEIGHTS/RESISTANCE,New,10000,"<img src=""http://ssiucm.schoolspecialty.com/ucm/groups/public/@guestprodimage/documents/image/pim_006083.jpg"" height=""200"" alt=""Tote Around Turtle"" /> <p>The five-lb (2.3kg) Tote Around Turtle is specifically made to provide input and stability, enabling ",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=771311&encrypt=.jpg,,,,,School Specialty,SKU: 006083,UOM: EACH,,
Pacon Bordette Decorative Scalloped Border - 2 1/4 inches x 50 feet - Pink,2.59,PAPER,DECORATIVES,BORDERS/TRIMMERS,New,10000,"Colorful trims add the finishing touch to bulletin boards and other classroom projects. Roll size: 2 1/4"" x 50'.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=753598&encrypt=.jpg,,,,,School Specialty,SKU: 006084,UOM: EACH,,
Pacon Bordette Decorative Scalloped Border - 2 /4 inches x 50 feet - Black,2.59,PAPER,DECORATIVES,BORDERS/TRIMMERS,New,10000,"Colorful trims add the finishing touch to bulletin boards and other classroom projects. Roll size: 2 1/4"" x 50'.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=753637&encrypt=.jpg,,,,,School Specialty,SKU: 006087,UOM: EACH,,
Pacon Bordette Decorative Scalloped Border - 2 1/4 inches x 50 feet - Violet,2.59,PAPER,DECORATIVES,BORDERS/TRIMMERS,New,10000,"Colorful trims add the finishing touch to bulletin boards and other classroom projects. Roll size: 2 1/4"" x 50'.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=925894&encrypt=.jpg,,,,,School Specialty,SKU: 006090,UOM: EACH,,
Spectra Deluxe Bleeding Art Tissue Assortment - 20 x 30 - 20 Sheets - 20 Standard Colors,2.99,PAPER,ART PAPER,TISSUE,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=175767&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=175240&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=755986&encrypt=.jpg,,,,,School Specialty,SKU: 006177,UOM: PACK OF 20,,
Spectra Duo Finish Art Kraft Roll - 36 inches x 1000 feet - White,67.99,PAPER,ART ROLLS,KRAFT ROLL,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=177207&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=176595&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756058&encrypt=.jpg,,,,,School Specialty,SKU: 006240,UOM: EACH,,
